1,Tissue,Repository,Voucher Number,NumberSpecimens,Genus/highertaxon,species,,,,modifier,Old_ID,seq'd?,Tissue used up in extraction?,Loc_label,Locality,Locality2,Notes,Tissue,lat,long,depth,depth2,date,collector,preservative,sample number,Collection method
706,MOLAF_0705,NMV,2010.155,,Psolus,dubiosus,705,Psolus ,antarcticus ,,,seq_failed,,Amundsen_Sea,Pine Island Bay,BIO6-AGT-2B,British Antarctic Survey,,-71.179010,-109.893870,997.95,,12.03.2008,,,,
707,MOLAF_0706,NMV,2010.146,,Psolidium,tenue,706,,,,,seq_failed,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-3A,British Antarctic Survey,,-73.974880,-107.422270,557.8,,10.03.2008,,,,
708,MOLAF_0707,NMV,2010.154,,Psolus,charcoti,707,,,,,COI,,S_Orkneys,South Orkneys,SG-RBOT-3,British Antarctic Survey,,-60.873820,-46.500780,235.58,,24.03.2006,,,,
709,MOLAF_0708,NMV,2010.15,,Psolidium,tenue,708,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
710,MOLAF_0709,NMV,2010.151,,Psolidium,tenue,709,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3C,British Antarctic Survey,,-74.404580,-104.611110,505.71,,07.03.2008,,,,
711,MOLAF_0710,NMV,2010.144-145,,Psolidium,pawsoni,710,Psolidium ,whittakeri,,,COI,,Amundsen_Sea,Pine Island Bay,BIO6-AGT-1B,British Antarctic Survey,,-71.151690,-110.012710,1491.25,,13.03.2008,,,,
712,MOLAF_0711,NMV,2010.143,,Psolidium,pawsoni,711,Psolidium,whittakeri ,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
713,MOLAF_0712,NMV,2010.152,,Psolidium,tenue,712,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
714,MOLAF_0713,NMV,2010.153,,Psolidium,tenue,713,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3A,British Antarctic Survey,,-74.409860,-104.654770,510.84,,06.03.2008,,,,
715,MOLAF_0714,NMV,F168626 Holotype,,Psolus,species 4,714,Psolus ,byrdae,,,COI,,Mairie_Byrd,Mairie Byrd S/mt,BIO7-AGT-2000,British Antarctic Survey,,-69.209420,-117.519020,2213.55,,15.03.2008,,,,
716,MOLAF_0715,NMV,,,Laetmogone,wyvillethomsoni,715,,,,,COI,,Mairie_Byrd,Mairie Byrd S/mt,BIO7-AGT-3000-DR19 NMV F168832,British Antarctic Survey,,-69.260940,-117.334820,3465.95,,14.03.2008,,,,
717,MOLAF_0716,NHM,2010.174,,Amperima,robusta,716,,,,,seq_failed,,SSandwich,South Sandwich Is,ST-AGT-2,British Antarctic Survey,,-59.507590,-27.304670,1046.83,,28.03.2006,,,,
