,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
1,2,161,Holothuriidae,Holothuria arenicola,Holothuria,arenicola,cf.,0,,BGUAM-001-1,Pacific Ocean,USA,Mariana Islands,Guam Island,"Tanguisson Point, N of Point",13.5,144.8,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,reef flat,,NA,NA,,,,,Holothuroidea
2,2,1120,Chiridotidae,Chiridota,Chiridota,,,0,,BGUAM-001-3,Pacific Ocean,USA,Mariana Islands,Guam Island,just N of Tanguisson Point,13.5,144.8,NA,NA,,75% ethanol,"Paulay, G.",,1992,3,11,0,0,0,reef flat,,NA,NA,,,,,Holothuroidea
3,2,1760,Holothuriidae,Holothuria insignis,Holothuria,insignis,,0,BOMAN-006,GP-Loc-653,Indian Ocean,Oman,,,"Masirah Island, off camp on S/SW coast",20.0111111111,58.6333333333,NA,NA,ethanol,75% ethanol,"Paulay, G.",,1999,11,NA,0,0,NA,reef slope,under rocks and in crevices,NA,NA,,,,,Holothuroidea
4,2,7142,Holothuriidae,Bohadschia hybrid,Bohadschia,hybrid,,783,GUM-SK-04,ZZZ-016631,Pacific Ocean,USA,Mariana Islands,Guam Island,Tumon,13.5,144.8,NA,NA,75% ethanol,75% ethanol,Sun Kim,,2008,4,NA,0,0,NA,sand flat,,1,1.5,meters,,night collected; progeny of B. vitiensis female with presumed B. argus male,,Holothuroidea
5,2,7143,Holothuriidae,Bohadschia ocellata,Bohadschia,ocellata,,783,GUM-SK-01,ZZZ-016631,Pacific Ocean,USA,Mariana Islands,Guam Island,Tumon,13.5,144.8,NA,NA,75% ethanol,75% ethanol,Sun Kim,,2008,4,NA,0,0,NA,sand flat,,1,1.5,meters,,"night collected, red & white spots",,Holothuroidea
6,2,7144,Holothuriidae,Bohadschia hybrid,Bohadschia,hybrid,,783,GUM-SK-03,ZZZ-016631,Pacific Ocean,USA,Mariana Islands,Guam Island,Tumon,13.5,144.8,NA,NA,75% ethanol,75% ethanol,Sun Kim,,2008,4,NA,0,0,NA,sand flat,,1,1.5,meters,,"darker, night collected; progeny of B. vitiensis female and presumed B. argus male",,Holothuroidea
7,2,7145,Holothuriidae,Bohadschia argus,Bohadschia,argus,,783,GUM-SK-02,ZZZ-016631,Pacific Ocean,USA,Mariana Islands,Guam Island,Tumon,13.5,144.8,NA,NA,75% ethanol,75% ethanol,Sun Kim,,2008,4,NA,0,0,NA,sand flat,,1,1.5,meters,,night collected,,Holothuroidea
8,2,7822,Stichopodidae,Thelenota ananas,Thelenota,ananas,,783,,ZZZ-016631,Pacific Ocean,USA,Mariana Islands,Guam Island,Tumon,13.5,144.8,NA,NA,denatured ethanol,95% ethanol,Sun Kim,,2008,3,18,0,0,0,,,NA,NA,,,DNA subsample only (no voucher),,Holothuroidea
9,2,7823,Stichopodidae,Thelenota ananas,Thelenota,ananas,,783,,ZZZ-016631,Pacific Ocean,USA,Mariana Islands,Guam Island,Tumon,13.5,144.8,NA,NA,denatured ethanol,95% ethanol,Sun Kim,,2008,3,18,0,0,0,,,NA,NA,,,DNA subsample only (no voucher),,Holothuroidea
10,2,1853,Stichopodidae,Stichopus,Stichopus,,,594,,BHAW-002,Pacific Ocean,USA,Hawaiian Islands,Hawaii Island,"South Kona, ""Gustav's Cave""",19.3185,-155.8848333333,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,,,2,9,meters,,,,Holothuroidea
11,2,1319,Synaptidae,Polyplectana,Polyplectana,,,594,,BHAW-002,Pacific Ocean,USA,Hawaiian Islands,Hawaii Island,"South Kona, ""Gustav's Cave""",19.3185,-155.8848333333,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,,,2,9,meters,,,,Holothuroidea
12,2,936,Holothuriidae,Holothuria,Holothuria,,,594,,BHAW-002,Pacific Ocean,USA,Hawaiian Islands,Hawaii Island,"South Kona, ""Gustav's Cave""",19.3185,-155.8848333333,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,,,2,9,meters,,,,Holothuroidea
13,2,1340,Holothuriidae,Holothuria leucospilota,Holothuria,leucospilota,,594,,BNIUE-423-2,Pacific Ocean,Niue Island,Niue Island,Niue Island,"Between Avaiki and Palaha, in S Tuapa",-19.1,-169.9,NA,NA,,75% ethanol,"Holthuis, B. & Paulay, G.",,91,10,29,0,0,0,reef flat,,NA,NA,,,,,Holothuroidea
14,2,963,Synaptidae,Synaptula,Synaptula,,,594,,BSULA-011-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, reef immediately to the E of Walen Lighthouse",-0.4219444444,122.4355555556,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,19,0,0,0,,,17,NA,meters,,,,Holothuroidea
15,2,2006,Synaptidae,Synaptula,Synaptula,,,594,,BSULA-029-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, ""blast"" Dive Site",-0.4488888889,122.1019444444,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,21,0,0,0,,,8,9,meters,,,,Holothuroidea
16,2,2013,Synaptidae,Synaptula,Synaptula,,,594,,BSULA-029-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, ""blast"" Dive Site",-0.4488888889,122.1019444444,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,21,0,0,0,,,8,9,meters,,,,Holothuroidea
17,2,919,Synaptidae,Synaptula,Synaptula,,,0,,BSULA-003-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Lembeh Straights, off Bitung, Angels Window Dive Site",1.1321809,124.6303372,NA,NA,,75% ethanol,"Paulay, G.",,2000,9,16,0,0,0,,,20,NA,meters,,,,Holothuroidea
18,2,1409,Synaptidae,Synaptula,Synaptula,,,594,,BSULA-040-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Inner Part of Small Bay With Small Village",-1.8479079,120.5279096,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,23,0,0,0,small bay,,1,7,meters,,,,Holothuroidea
19,2,951,Holothuriidae,Holothuria fuscocinerea,Holothuria,fuscocinerea,cf.,594,,BSULA-041-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Inner Part of Small Bay With Small Village",-1.8479079,120.5279096,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,23,0,0,0,small bay,,1,7,meters,,,,Holothuroidea
20,2,979,Holothuriidae,Holothuria,Holothuria,,aff.,594,,BSULA-041-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Inner Part of Small Bay With Small Village",-1.8479079,120.5279096,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,23,0,0,0,small bay,,1,7,meters,,,,Holothuroidea
21,2,2012,Synaptidae,Synaptula,Synaptula,,,594,,BSULA-047-3,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Small Atoll ""bull Eyes""",-0.4222222222,121.6816666667,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,25,0,0,0,small atoll,,5,28,meters,,,,Holothuroidea
22,2,1954,Synaptidae,Synaptula,Synaptula,,,594,,BSULA-047-3,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Small Atoll ""bull Eyes""",-0.4222222222,121.6816666667,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,25,0,0,0,small atoll,,5,28,meters,,,,Holothuroidea
23,2,56,Holothuriidae,Holothuria hawaiiensis,Holothuria,hawaiiensis,,0,,56-4,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Kapalua Bay,20.9999048,-156.6678836,NA,NA,80% ethanol,75% ethanol,"Pittman, C.",,1,8,2,0,0,0,,under rock,2,6,meters,,,,Holothuroidea
24,2,57,Stichopodidae,Stichopus sp. 4,Stichopus,sp. 4,,0,,56-4,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Kapalua Bay,20.9999048,-156.6678836,NA,NA,80% ethanol,75% ethanol,"Pittman, C.",,1,8,2,0,0,0,,under rock,2,6,meters,,,,Holothuroidea
25,2,2696,Synaptidae,Synaptidae,Synaptidae,,,0,BOMAN-001,GP-Loc-650,Indian Ocean,Oman,,,"Al Bustan Resort, S of Muscat",23.57609,58.60606,NA,NA,,95% ethanol,"Paulay, G.",,1999,10,29,0,0,0,nearshore rock & coral outcrops,under rocks,0,5,meters,,,,Holothuroidea
26,2,1375,Holothuriidae,Holothuria insignis,Holothuria,insignis,,594,BOMAN-002,GP-Loc-651,Indian Ocean,Oman,,,Bandar Kharyan,23.5239008,58.6362833,NA,NA,,75% ethanol,"Paulay, G.",,1999,10,31,0,0,0,reef slope,under rocks and coral,1,5,meters,,,,Holothuroidea
27,2,1797,Holothuriidae,Holothuria,Holothuria,,,0,BOMAN-006,GP-Loc-653,Indian Ocean,Oman,,,"Masirah Island, off Camp on South-southwest Coast of Masirah",20.0111111111,58.6333333333,NA,NA,formalin,75% ethanol,"Paulay, G.",,1999,11,1,0,0,0,reef slope,under rocks / in crevices,1,5,meters,,,,Holothuroidea
