,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
17,2,919,Synaptidae,Synaptula,Synaptula,,,0,,BSULA-003-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Lembeh Straights, off Bitung, Angels Window Dive Site","Bitung, Sulawesi",NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2000,9,16,0,0,0,,,20,NA,meters,,,,Holothuroidea
18,2,1409,Synaptidae,Synaptula,Synaptula,,,594,,BSULA-040-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Inner Part of Small Bay With Small Village",Sulawesi,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,23,0,0,0,small bay,,1,7,meters,,,,Holothuroidea
23,2,56,Holothuriidae,Holothuria hawaiiensis,Holothuria,hawaiiensis,,0,,56-4,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Kapalua Bay,Kapalua Bay,NA,NA,NA,NA,80% ethanol,75% ethanol,"Pittman, C.",,1,8,2,0,0,0,,under rock,2,6,meters,,,,Holothuroidea
25,2,2696,Synaptidae,Synaptidae,Synaptidae,,,0,BOMAN-001,GP-Loc-650,Indian Ocean,Oman,,,"Al Bustan Resort, S of Muscat","Al Bustan, Muscat",NA,NA,NA,NA,,95% ethanol,"Paulay, G.",,1999,10,29,0,0,0,nearshore rock & coral outcrops,under rocks,0,5,meters,,,,Holothuroidea
26,2,1375,Holothuriidae,Holothuria insignis,Holothuria,insignis,,594,BOMAN-002,GP-Loc-651,Indian Ocean,Oman,,,Bandar Kharyan,23.50139°N 58.73250°E,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,10,31,0,0,0,reef slope,under rocks and coral,1,5,meters,,,,Holothuroidea
30,2,1794,Holothuriidae,Holothuria albofusca,Holothuria,albofusca,,0,BOMAN-010,GP-Loc-654,Indian Ocean,Oman,,,"Masirah Island, Ca. 500 Meters from Shore off Southeast Corner of Masirah",Masirah Island,NA,NA,NA,NA,formalin,75% ethanol,"Paulay, G.",,1999,11,4,0,0,0,rocky bottom,under rocks,8,12,meters,,,,Holothuroidea
31,2,1960,Sclerodactylidae,Cladolabes bifurcatus,Cladolabes,bifurcatus,,0,BOMAN-012,GP-Loc-655,Indian Ocean,Oman,,,"Masirah Island, Just South of Shaghaf Village, West Masirah",Masirah Island,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1999,11,4,0,0,0,"rubble, rocks and corals",under rocks,6,8,meters,,,,Holothuroidea
32,2,73,Holothuriidae,Holothuria insignis,Holothuria,insignis,,594,BOMAN-014,GP-Loc-657,Indian Ocean,Oman,,,"Masirah Island, South-southwest Coast, 1-2 Kilometers N of Camp",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,5,0,0,0,rocky coast,under rocks,NA,NA,,,,,Holothuroidea
33,2,986,Holothuriidae,Labidodemas,Labidodemas,,,0,BOMAN-021,GP-Loc-660,Indian Ocean,Oman,,,"Masirah Island, 2-3 Kilometers Offshore of Southeast Tip of Masirah",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,6,0,0,0,"rocky rubble & sand, few corals",under rocks,11,16,meters,,,,Holothuroidea
34,2,1114,Sclerodactyllidae,Ohshimella ehrenbergii,Ohshimella,ehrenbergii,,0,BOMAN-025,GP-Loc-663,Indian Ocean,Oman,,,"Masirah Island, offshore Rocky Outcrops off Southwest Coast",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,7,0,0,0,fore reef and backreef,under rocks,0,5,meters,,,,Holothuroidea
35,2,4079,Cucumariidae,Trachasina crucifera,Trachasina,crucifera,,0,BOMAN-027,GP-Loc-665,Indian Ocean,Oman,,,"Masirah Island, 2 to 4 km S of SE Tip of Island",Masirah Island,NA,NA,NA,NA,,95% ethanol,"Paulay, G.",,1999,11,8,0,0,0,coarse sand and rocks,,20,22,meters,,,,Holothuroidea
36,2,1985,Holothuriidae,Holothuria insignis,Holothuria,insignis,,0,BOMAN-034,GP-Loc-669,Indian Ocean,Oman,,,"Masirah Island, Oyster Islands off W Masirah",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,11,0,0,0,"rocks, coral and sand",,0,6,meters,,,,Holothuroidea
49,2,11092,Synaptidae,Synapta maculata,Synapta,maculata,,985,X056,ZZZ-024286,,France,Mascarene Islands,Reunion Island,,St Gilles,NA,NA,NA,NA,,75% ethanol,"Thierry Hoareau, Emilie Boissin",,2011,8,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
59,2,5951,Holothuriidae,Holothuria glaberrima,Holothuria,glaberrima,,503,,R-0129,,Honduras,Islas de la Bahia Dept.,,"Bay Islands, Guanaja Island","Bay Islands, Guanaja Island",NA,NA,NA,NA,,75% ethanol,E. H. Vokes & H. E. Vokes,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
61,2,7112,Holothuriidae,Holothuria hilla,Holothuria,hilla,,800,,ZZZ-073307,,USA,Hawaiian Islands,Oahu Island,Kaneohe Bay,Kaneohe Bay,NA,NA,NA,NA,,75% ethanol,Sea McKeon,,2008,7,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
65,2,13264,Holothuriidae,Holothuria edulis,Holothuria,edulis,aff.,NA,,ZZZ-076087,,Republic of the Marshall Islands,Marshall Islands,Majuro Atoll,Majuro,Majuro,NA,NA,NA,NA,ethanol,75% ethanol,John Starmer,,2012,NA,NA,0,NA,NA,,,NA,NA,,,,,Holothuroidea
66,2,1748,Holothuriidae,Holothuria,Holothuria,,,0,,BNEC-006,Pacific Ocean,New Caledonia,New Caledonia,,"0.5 km N of Passe de Boulari, near Noumea",Noumea,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,13,0,0,0,outer reef slope,under rocks,8,18,meters,,,,Holothuroidea
67,2,2002,Holothuriidae,Holothuria,Holothuria,,,0,,BNEC-008,Pacific Ocean,New Caledonia,New Caledonia,,"N side of Passe de Boulari, near Noumea",Noumea,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,14,0,0,0,"patch reef, shoal",under rocks,2,14,meters,,,,Holothuroidea
