,X,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_,address,gpslat,gpslong,formattedAddress
1,17,2,919,Synaptidae,Synaptula,Synaptula,,,0,,BSULA-003-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Lembeh Straights, off Bitung, Angels Window Dive Site","Bitung, Sulawesi",NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2000,9,16,0,0,0,,,20,NA,meters,NA,,,Holothuroidea,"Bitung,Sulawesi,Indonesia",1.1321809,124.6303372,"Bitung, Amurang, South Minahasa, North Sulawesi, Indonesia"
2,18,2,1409,Synaptidae,Synaptula,Synaptula,,,594,,BSULA-040-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Inner Part of Small Bay With Small Village",Sulawesi,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,23,0,0,0,small bay,,1,7,meters,NA,,,Holothuroidea,"Sulawesi,Indonesia",-1.8479079,120.5279096,"Sulawesi, Indonesia"
3,23,2,56,Holothuriidae,Holothuria hawaiiensis,Holothuria,hawaiiensis,,0,,56-4,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Kapalua Bay,Kapalua Bay,NA,NA,NA,NA,80% ethanol,75% ethanol,"Pittman, C.",,1,8,2,0,0,0,,under rock,2,6,meters,NA,,,Holothuroidea,"Kapalua+Bay,USA",20.9999048,-156.6678836,"Kapalua Bay, Kapalua, HI 96761, USA"
4,25,2,2696,Synaptidae,Synaptidae,Synaptidae,,,0,BOMAN-001,GP-Loc-650,Indian Ocean,Oman,,,"Al Bustan Resort, S of Muscat","Al Bustan, Muscat",NA,NA,NA,NA,,95% ethanol,"Paulay, G.",,1999,10,29,0,0,0,nearshore rock & coral outcrops,under rocks,0,5,meters,NA,,,Holothuroidea,"Al+Bustan,Muscat,Oman",23.57609,58.60606,"Al Bustan, Oman"
5,26,2,1375,Holothuriidae,Holothuria insignis,Holothuria,insignis,,594,BOMAN-002,GP-Loc-651,Indian Ocean,Oman,,,Bandar Kharyan,23.50139°N 58.73250°E,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,10,31,0,0,0,reef slope,under rocks and coral,1,5,meters,NA,,,Holothuroidea,23.50139°N+58.73250°E,23.5239008,58.6362833,"Al Jissah Street, Oman"
6,30,2,1794,Holothuriidae,Holothuria albofusca,Holothuria,albofusca,,0,BOMAN-010,GP-Loc-654,Indian Ocean,Oman,,,"Masirah Island, Ca. 500 Meters from Shore off Southeast Corner of Masirah",Masirah Island,NA,NA,NA,NA,formalin,75% ethanol,"Paulay, G.",,1999,11,4,0,0,0,rocky bottom,under rocks,8,12,meters,NA,,,Holothuroidea,"Masirah+Island,Oman",20.3173398,58.6915912,"Masirah, Oman"
7,31,2,1960,Sclerodactylidae,Cladolabes bifurcatus,Cladolabes,bifurcatus,,0,BOMAN-012,GP-Loc-655,Indian Ocean,Oman,,,"Masirah Island, Just South of Shaghaf Village, West Masirah",Masirah Island,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1999,11,4,0,0,0,"rubble, rocks and corals",under rocks,6,8,meters,NA,,,Holothuroidea,"Masirah+Island,Oman",20.3173398,58.6915912,"Masirah, Oman"
8,32,2,73,Holothuriidae,Holothuria insignis,Holothuria,insignis,,594,BOMAN-014,GP-Loc-657,Indian Ocean,Oman,,,"Masirah Island, South-southwest Coast, 1-2 Kilometers N of Camp",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,5,0,0,0,rocky coast,under rocks,NA,NA,,NA,,,Holothuroidea,"Masirah+Island,Oman",20.3173398,58.6915912,"Masirah, Oman"
9,33,2,986,Holothuriidae,Labidodemas,Labidodemas,,,0,BOMAN-021,GP-Loc-660,Indian Ocean,Oman,,,"Masirah Island, 2-3 Kilometers Offshore of Southeast Tip of Masirah",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,6,0,0,0,"rocky rubble & sand, few corals",under rocks,11,16,meters,NA,,,Holothuroidea,"Masirah+Island,Oman",20.3173398,58.6915912,"Masirah, Oman"
10,34,2,1114,Sclerodactyllidae,Ohshimella ehrenbergii,Ohshimella,ehrenbergii,,0,BOMAN-025,GP-Loc-663,Indian Ocean,Oman,,,"Masirah Island, offshore Rocky Outcrops off Southwest Coast",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,7,0,0,0,fore reef and backreef,under rocks,0,5,meters,NA,,,Holothuroidea,"Masirah+Island,Oman",20.3173398,58.6915912,"Masirah, Oman"
