Counter,InCukes,Order-current,Family-current,Subfamily,Genus-orig,Subgenus-orig,Species-orig,Region: type,other regions,Not Description,Author,Year,ref,Genus-current,Subgenus-current,species-current,ESU,Comment on sp,ZooBank LSID,Available?,Valid?,Status (WoRMS),UnacceptedReason,InUse,Have/seq'd,Known from,NotValidorAvailRef,ValRef,synonymy by,generic reassignement,other refs,Have description?,Checked?,Notes-keep,Notes,pp.,fig.,type loc,Depth,Depth_2,unit,Type type,Repository,Cat No,type notes,Museum,Type of type,Catalog number,Source,Range,RangeSource,Depthrange1,Depthrange2,Depthunits,Depthsource,Smiley_old_AuthorityAndDate,Notes: ,"from Smiley-Pawson, extracted automatically by Alex 2006, getting edited by me in temporal order"
2371,yes,Apodida,Chiridotidae,,Archedota,,lapidea,temp Aust,,,O'Loughlin in O'Loughlin & VandenSpiegel,2007,2007b,Archedota,,lapidea,,,,yes,yes,accepted,,yes,,,,post 2000,,,,pdf,yes,,,57-58,fig 1,"Victoria, western Bass Strait, VIMA, NZOI RV Tangaroa, cruise 81-T-1, BSS stn 205G, 39°13'36""S 143°55'36""E",85,,m,holotype,Museum Victoria,NMV F59193,,,,,,,,,,,,,,
834,yes,Apodida,Chiridotidae,,Chiridota,,abyssicola,EA-N,,,Marenzeller von,1892,1892a,Chiridota,,abyssicola,,,,yes,yes,accepted,,yes,,,,Smirnov et al 2000a,,,,pdf,yes,"preliminary descriptions in M 1892a, further descriptions and figures in M 1893b.  Pages and figures for latter noted parenthatically; type loc also from latter.",,65 (19),"(pl I, fig 5; pl II, fig 7)","Campagne de 1888: Stn. 248, 41°40'41""N 20°4'23""E",2870,,meters,,,,,,,,,,,,,,,"von Marenzeller, 1893",,
1165,yes,Apodida,Chiridotidae,,Chiridota,,albatrossii,EP-N,,,Edwards,1907,1907a,Chiridota,,albatrossii,,,,yes,yes,accepted,,yes,,,,Lambert 1997a,,,,pdf,yes,,,50-52,figs. 1-3,,,,,holotype,USNM,25003,,USNM,syntype,25003,,,,,,,,"Edwards, 1907",,
1391,yes,Apodida,Chiridotidae,,Chiridota,,aponocrita,EP,,,Clark,1920,1920a,Chiridota,,aponocrita,,,,yes,yes,accepted,,yes,y/y?,,,Alvarado et al 2010,,,,original,yes,,,125,"pl 4, fig 1-2","Panama, Perico Islands",,,,holotype,,,,USNM,holotype,E 10559,,,,,,,,"Clark, 1920",,
1454,yes,Apodida,Chiridotidae,,Chiridota,,carnleyensis,NZ,,,Mortensen,1925,1925a,Chiridota,,carnleyensis,,,,yes,yes,accepted,,yes,,,,Pawson 1970a,,,,pdf,yes,,,374-376,"fig 56 b, fig 58","Carnley Harbour, Auckland Islands",45,,fathoms,syntype,,,,USNM,syntype,E 1221,,,,,,,,"Mortensen, 1925",,
1900,yes,Apodida,Chiridotidae,,Chiridota,,conceptacula,EA,,,Cherbonnier,1963,1963c,Chiridota,,conceptacula,,,,yes,yes,accepted,,unused,,,,none found,,,,pdf,yes,,,518-520,fig 2 a-h,Dakar,,,,holotype,,,,,,,,,,,,,,"Cherbonnier, 1963",,
67,yes,Apodida,Chiridotidae,,Chiridota,,discolor,EP-N,,,Eschscholtz,1829,1829a,Chiridota,,discolor,,,,yes,yes,accepted,,yes,,,,Lambert 1997a,,,,pdf,yes,,,12-13,"pl. 10, fig. 2",Insel Sitcha,,,,syntypes,,,Eschscholtz types appear to be lost; searched for by A Smirnov (Smirnov in litt 12 Dec 2012),,,,,,,,,,,,,
136,no,Apodida,Chiridotidae,,Liosoma,,Sitchaense,EP-N,,,Brandt,1835,1835a,Chiridota,,discolor,,,,yes,no,unaccepted,,no,,,,,Ludwig 1881b,,,pdf,yes,,,58,none,Insula Sitcha,,,,,,not designated,type lost (Ludwig 1881b),,,,,,,,,,,,,
69,no,Apodida,Chiridotidae,,Chiridota,,verrucosa,EP-N,,,Eschscholtz,1829,1829a,Chiridota,,discolor?,,,,yes,no,unaccepted,,no,,,,,herein,,,pdf,yes,"considered unidentifiable Synaptidae by Clark 1907a and Clark & Rowe 1967a, though Synaptidae in 1907 included Chiridota.  Eschscholtz' illustration shows a Chiridota, which given the location is most likely C. discolor.  See notes.","“36 & 37. Chiridota verrucosa and lumbricoides Eschscholtz, 1 829. H. L. Clark (1907) considers that there is insufficient evidence to determine the identity of either of these nominal species, which would therefore be better suppressed.” (Clark & Rowe, 1967)",13,"pl. 10, fig. 3",Insel Sitcha,,,,syntypes,,,Eschscholtz types appear to be lost; searched for by A Smirnov (Smirnov in litt 12 Dec 2012),,,,,,,,,,,,,
2276,yes,Apodida,Chiridotidae,,Chiridota,,durbanensis,SAfr,,,Thandar,1997,1996a,Chiridota,,durbanensis,,,,yes,yes,accepted,,yes,,,,post 1990,,,,pdf,yes,,,208-209,"fig. 1, 2","Cave Rock, off Bluff in Durban, South Africa (30oS 31oE)",20,,m,holotype,South African Museum,SAM-A 27712,,,,,,,,,,,,,,
