Labels,Groups,ESU_genetic,ESU_morphology,ESU_taxonomy
Holothuriidae_Actinopyga_agassizi_Belize_UF4876_4876,8,act_aga,act_aga,act_aga
Holothuriidae_Actinopyga_agassizi_Belize_UF4875_4875,8,act_aga,act_aga,act_aga
Holothuriidae_Actinopyga_agassizi_FL_USNME27984_USNM_E27984,8,act_aga,act_aga,act_aga
Holothuriidae_Actinopyga_agassizi_FL_UF7814_7814_t_7814,8,act_aga,act_aga,act_aga
Holothuriidae_Actinopyga_agassizi_FL_UF7815_7815,8,act_aga,act_aga,act_aga
Holothuriidae_Actinopyga_agassizi_MexicoAtl_UNAM-ICML5.21.9_YUC15,8,act_aga,act_aga,act_aga
Holothuriidae_Actinopyga_agassizi_MexicoAtl_UNAM-ICML_YUC26,8,act_aga,act_aga,act_aga
Holothuriidae_Actinopyga_banwarthi_SaudiArabia_UF13549_13549,12,act_ban,act_ban,act_ban
Holothuriidae_Actinopyga_banwarthi_SaudiArabia_UF13561_13561,12,act_ban,act_ban,act_ban
Holothuriidae_Actinopyga_bannworthi_RedSea_UF14221_14221,12,act_ban,act_ban,act_ban
Holothuriidae_Actinopyga_bannworthi_RedSea_UF14218_14218,12,act_ban,act_ban,act_ban
Holothuriidae_Actinopyga_echinites_Reunion_UF6316_6316,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Reunion_UF6317_6317,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Reunion_UF6318_6318,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Reunion_UF6319_6319,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Reunion_UF6399_6399,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Kosrae_UF6918_6918,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Philippines_UF5699_5699,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Madagascar_UF7575_7575_1,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Tanzania_UF8926_8926,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Lizard_UF8289_8289_t_8289,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_NewCaledonia_UF8663_8663,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Philippines_UPtissues_PH-26,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Philippines_UPtissues_PH-8,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_echinites_Taiwan_UF4086_4086,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_aff_echinites_UF7544_7544,2,act_ech,act_ech,act_ech
Holothuriidae_Actinopyga_lecanora_Philippines_UF6903_6903_st_6903,6,act_lec_1a_PO,act_lec_1,act_lec
Holothuriidae_Actinopyga_lecanora_Okinawa_UF10915_10915,6,act_lec_1a_PO,act_lec_1,act_lec
Holothuriidae_Actinopyga_lecanora_Ryukyus_RUMFZE-00358_RUMF-ZE-00358,6,act_lec_1a_PO,act_lec_1,act_lec
Holothuriidae_Actinopyga_lecanora_Okinawa_UF11044_11044,6,act_lec_1a_PO,act_lec_1,act_lec
Holothuriidae_Actinopyga_lecanora_PNG_UF_PNG12-1116,11,act_lec_2,act_lec_2,act_lec
Holothuriidae_Actinopyga_lecanora_Lizard_UF8404_8404_t_8404,11,act_lec_2,act_lec_2,act_lec
Holothuriidae_Actinopyga_afflecanora_PNG_UF_PNG12-0999,11,act_lec_2,act_lec_2,act_lec
Holothuriidae_Actinopyga_lecanora_UF7459_7459_st_7459,15,act_lec_1b_IO,act_lec_1,act_lec
Holothuriidae_Actinopyga_mauritiana_Reunion_UF6365_6365,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_Indonesia_UF4626_4626,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_Reunion_UF6332_6332,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_Reunion_UF6333_6333,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_UF6558_6558,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_Ningaloo_UF9602_9602,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_Eparses_UF9258_9258,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_Christmas_IO_RUMFZE-00080_RUMF-ZE-00080,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_Reunion_UF6985_6985_t_6985,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_SaudiArabia_UF13485_13485,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_Ningaloo_UF9604_9604,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_mauritiana_Reunion_Conand_Conand,5,act_mau,act_mau,act_mau
Holothuriidae_Actinopyga_miliaris_Yap_Palau_UF1339_1339,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_miliaris_Yap_Yap_UF5870_5870,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_miliaris_Yap_Kosrae_UF6798_6798,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_miliaris_Yap_Yap_UF5887_5887,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_miliaris_Yap_Kosrae_UF6938_6938,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_PNG_UF_PNG12-0440,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_~_miliaris_NewCaledonia_UF8677_8677_t_8677,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_miliaris_FSM_UF5884_5884,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_cf_miliaris_Lizard_UF8302_8302,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_FSM_UF5848_5848,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_miliaris_Yap_Yap_UF5868_5868,1,act_mil,act_mil,act_mil
Holothuriidae_Actinopyga_sp_1_Seychelles_UF11337_11337,10,act_nsp_1,act_nsp_1,act_nsp_1
Holothuriidae_Actinopyga_~_sp_1_Guam_UF237_237,10,act_nsp_1,act_nsp_1,act_nsp_1
Holothuriidae_Actinopyga_sp_1_Philippines_UF5623_5623_t_5623,10,act_nsp_1,act_nsp_1,act_nsp_1
Holothuriidae_Actinopyga_sp_1_Philippines_UF5698_5698,10,act_nsp_1,act_nsp_1,act_nsp_1
Holothuriidae_Actinopyga_~_obesa_Hawaii_UF6125_6125,13,act_obe_1,act_obe,act_obe
Holothuriidae_Actinopyga_~_obesa_Hawaii_UF6074_6074_t_6074_2amb,13,act_obe_1,act_obe,act_obe
Holothuriidae_Actinopyga_~_obesa_Hawaii_UF6124_6124_1amb,13,act_obe_1,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_Hawaii_UF988_988,13,act_obe_1,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_Hawaii_UF1281_1281,13,act_obe_1,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_Hawaii_UF4834_4834,13,act_obe_1,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_IO_Oman_UF2062_2062,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_IO_Oman_UF948_948_t_948,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_IO_Oman_UF4267_4267,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_IO_Oman_UF4267_4267x,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_IO_Oman_UF948_948x,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_IO_Comoros_Samyn_Samyn_needed4,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_Seychelles_UF11328_11328,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_IO_Madagascar_UF7352_7352,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_Mayotte_UF7008_7008,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_obesa_Mayotte_UF7146_7146,7,act_obe_2,act_obe,act_obe
Holothuriidae_Actinopyga_palauensis_Saipan_UF4415_4415,4,act_pal,act_pal,act_pal
Holothuriidae_Actinopyga_palauensis_Guam_UF4678_4678,4,act_pal,act_pal,act_pal
Holothuriidae_Actinopyga_aff_flammea_Tonga_UFOCDN5390-S_12601_st_12601,4,act_pal,act_fla,act_fla
Holothuriidae_Actinopyga_~_palauensis_Ryukyus_UF3919_3919,4,act_pal,act_pal,act_pal
Holothuriidae_Actinopyga_palauensis_Saipan_UF4414_4414,4,act_pal,act_pal,act_pal
Holothuriidae_Actinopyga_palauensis_Vanuatu_UF5564_5564,4,act_pal,act_pal,act_pal
Holothuriidae_Actinopyga_~_palauensis_Lines_UF5423_5423,4,act_pal,act_pal,act_pal
